Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ctr,cpc,cpm,conversion_rate,roas
A1011,Data Analytcis Course,101.0,3613.0,208.12,24.0,5.0,0.05,1130.0,,HYDERABAD,desktop,online data analytic,0.027954608358704676,2.0605940594059406,57.603099916966514,0.04950495049504951,5.4295598693061695
A1012,Data Analytcis Course,125.0,3259.0,191.3,18.0,3.0,0.024,1959.0,,HYDERABAD,desktop,data analitics online,0.03835532371893219,1.5304,58.69898741945383,0.024,10.240460010454782
A1013,Data Analytcis Course,196.0,3742.0,207.46,10.0,7.0,0.038,1623.0,,HYDERABAD,mobile,data anaytics training,0.052378407268840195,1.0584693877551021,55.44094067343667,0.03571428571428571,7.8231948327388405
A1014,Data Analytcis Course,181.0,4311.0,185.09,11.0,9.0,0.05,1538.0,2024-11-04,HYDERABAD,desktop,data anaytics training,0.041985618186035724,1.022596685082873,42.93435397819532,0.049723756906077346,8.309471068129017
A1015,Data Analytcis Course,102.0,5461.0,201.69,22.0,8.0,0.078,1755.0,2024-11-29,HYDERABAD,desktop,data analytics course,0.01867789782091192,1.9773529411764705,36.93279619117377,0.0784313725490196,8.701472556894243
A1016,Data Analytcis Course,193.0,5159.0,,15.0,9.0,0.047,1614.0,2024-11-10,HYDERABAD,mobile,learn data analytics,0.03741035084318666,,,0.046632124352331605,
A1017,Data Analytcis Course,149.0,4431.0,207.4,19.0,9.0,0.06,1693.0,,HYDERABAD,mobile,learn data analytics,0.0336267208305123,1.3919463087248323,46.80658993455202,0.06040268456375839,8.162970106075218
A1018,Data Analytcis Course,150.0,3113.0,217.41,20.0,5.0,,1785.0,,HYDERABAD,mobile,analytics for data,0.04818503051718599,1.4494,69.83938323160938,0.03333333333333333,8.210293914723334
A1019,Data Analytcis Course,145.0,5278.0,,25.0,6.0,0.041,1516.0,2024-11-05,HYDERABAD,desktop,data analytics course,0.027472527472527472,,,0.041379310344827586,
A1020,Data Analytcis Course,184.0,4143.0,223.3,10.0,10.0,0.044,1735.0,,HYDERABAD,tablet,learn data analytics,0.044412261646150135,1.2135869565217392,53.89814144339851,0.05434782608695652,7.769816390506045
A1021,Data Analytcis Course,171.0,4154.0,184.23,30.0,7.0,0.041,1803.0,,HYDERABAD,tablet,data analitics online,0.041165142031776604,1.0773684210526315,44.35002407318247,0.04093567251461988,9.786679693860934
A1022,Data Analytcis Course,122.0,5187.0,211.24,27.0,6.0,0.049,1322.0,2024-11-20,HYDERABAD,desktop,online data analytic,0.023520339309812992,1.7314754098360656,40.72488914594178,0.04918032786885246,6.258284415830335
A1023,Data Analytcis Course,188.0,5798.0,230.17,28.0,5.0,0.047,1452.0,,HYDERABAD,tablet,data analytics course,0.032424974129010006,1.2243085106382978,39.698171783373574,0.026595744680851064,6.308380762045445
A1024,Data Analytcis Course,87.0,3718.0,,12.0,3.0,0.034,1652.0,,HYDERABAD,tablet,learn data analytics,0.023399677245831092,,,0.034482758620689655,
A1025,Data Analytcis Course,88.0,3349.0,181.92,22.0,8.0,0.091,1456.0,2024-11-20,HYDERABAD,tablet,learn data analytics,0.026276500447894893,2.067272727272727,54.320692744102715,0.09090909090909091,8.003518029903255
A1026,Data Analytcis Course,119.0,5323.0,205.92,17.0,10.0,0.06,1656.0,2024-11-02,HYDERABAD,desktop,online data analytic,0.022355814390381364,1.7304201680672269,38.68495209468345,0.08403361344537816,8.041958041958042
A1027,Data Analytcis Course,,5286.0,234.89,22.0,10.0,,1688.0,2024-11-21,HYDERABAD,desktop,data anaytics training,,,44.43624668936814,,7.186342543318149
A1028,Data Analytcis Course,128.0,5469.0,188.49,16.0,3.0,,1783.0,2024-11-23,HYDERABAD,mobile,learn data analytics,0.02340464435911501,1.472578125,34.46516730663741,0.0234375,9.459387765929227
A1029,Data Analytcis Course,86.0,3351.0,237.75,21.0,9.0,0.105,1975.0,,HYDERABAD,mobile,analytics for data,0.025663980901223515,2.76453488372093,70.94897045658013,0.10465116279069768,8.307045215562566
A1030,Data Analytcis Course,188.0,4834.0,213.58,15.0,4.0,0.021,1590.0,2024-11-08,HYDERABAD,tablet,online data analytic,0.03889118742242449,1.136063829787234,44.18287132809267,0.02127659574468085,7.444517276898585
A1031,Data Analytcis Course,113.0,5065.0,212.37,11.0,5.0,,1111.0,,HYDERABAD,desktop,online data analytic,0.022309970384995065,1.8793805309734513,41.928923988154,0.04424778761061947,5.231435701841126
A1032,Data Analytcis Course,,3872.0,244.38,20.0,4.0,,1041.0,,HYDERABAD,tablet,data analitics online,,,63.114669421487605,,4.259759391112202
A1033,Data Analytcis Course,176.0,5509.0,234.59,19.0,7.0,0.054,1710.0,,HYDERABAD,tablet,data analytics course,0.03194772190960247,1.3328977272727274,42.583045924850246,0.03977272727272727,7.289313269960356
A1034,Data Analytcis Course,121.0,5610.0,214.96,23.0,8.0,,,2024-11-25,HYDERABAD,mobile,data analytics course,0.021568627450980392,1.7765289256198349,38.317290552584666,0.06611570247933884,
A1035,Data Analytcis Course,104.0,5275.0,236.48,16.0,9.0,0.031,1824.0,,HYDERABAD,desktop,data anaytics training,0.019715639810426542,2.273846153846154,44.830331753554496,0.08653846153846154,7.713125845737483
A1036,Data Analytcis Course,146.0,5939.0,242.9,11.0,8.0,0.035,1833.0,2024-11-07,HYDERABAD,desktop,data anaytics training,0.02458326317561879,1.6636986301369863,40.899141269574,0.0547945205479452,7.5463153561136265
A1037,Data Analytcis Course,123.0,5131.0,,19.0,5.0,0.041,1307.0,,HYDERABAD,mobile,learn data analytics,0.02397193529526408,,,0.04065040650406504,
A1038,Data Analytcis Course,90.0,5786.0,197.55,11.0,6.0,0.043,1704.0,,HYDERABAD,mobile,online data analytic,0.015554787417905289,2.1950000000000003,34.14275838230211,0.06666666666666667,8.625664388762338
A1039,Data Analytcis Course,171.0,4304.0,192.61,17.0,10.0,0.058,1427.0,2024-11-26,HYDERABAD,mobile,learn data analytics,0.03973048327137547,1.126374269005848,44.75139405204461,0.05847953216374269,7.408753439592959
A1040,Data Analytcis Course,94.0,5549.0,231.23,25.0,9.0,0.096,1849.0,,HYDERABAD,mobile,data anaytics training,0.016939989187240944,2.4598936170212764,41.67057127410344,0.09574468085106383,7.996367253384077
A1041,Data Analytcis Course,112.0,4271.0,196.07,27.0,6.0,,1209.0,2024-11-14,HYDERABAD,desktop,data analitics online,0.026223366892999297,1.7506249999999999,45.9072816670569,0.05357142857142857,6.16616514510124
A1042,Data Analytcis Course,113.0,4418.0,191.55,27.0,10.0,,1634.0,,HYDERABAD,mobile,data analytics course,0.02557718424626528,1.695132743362832,43.356722498868265,0.08849557522123894,8.530409814669799
A1043,Data Analytcis Course,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,,HYDERABAD,desktop,data analitics online,0.038968019349637194,1.2479310344827585,48.629400698736895,0.04827586206896552,10.831721470019342
A1044,Data Analytcis Course,197.0,5783.0,204.46,23.0,6.0,,1729.0,,HYDERABAD,tablet,data anaytics training,0.03406536399792495,1.0378680203045685,35.35535189348089,0.030456852791878174,8.456421793993934
A1045,Data Analytcis Course,109.0,4866.0,236.78,27.0,5.0,,1585.0,,HYDERABAD,mobile,online data analytic,0.02240032881216605,2.1722935779816512,48.660090423345665,0.045871559633027525,6.693977531886139
A1046,Data Analytcis Course,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,,HYDERABAD,desktop,data anaytics training,0.032098343862045416,1.186063829787234,38.070684650845145,0.02127659574468085,5.843573414656023
A1047,Data Analytcis Course,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,HYDERABAD,mobile,analytics for data,0.02782676856750931,1.6485915492957746,45.87497550460513,0.02112676056338028,7.838530542503204
A1048,Data Analytcis Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,HYDERABAD,mobile,online data analytic,0.036105738233397806,1.4335714285714285,51.76015473887814,0.05357142857142857,5.675967447267896
A1049,Data Analytcis Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,,HYDERABAD,mobile,learn data analytics,0.031214528944381384,2.2623636363636366,70.61861520998865,0.09090909090909091,6.123925098448927
A1050,Data Analytcis Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,,HYDERABAD,mobile,analytics for data,0.03233411923206467,0.9522916666666666,30.791512293701583,0.026041666666666668,5.906803762852768
A1051,Data Analytcis Course,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,HYDERABAD,tablet,analytics for data,0.025621511922881784,2.045742574257426,52.41501775748351,0.04950495049504951,8.4502952279547
A1052,Data Analytcis Course,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,HYDERABAD,mobile,online data analytic,0.0473604826546003,1.2073885350318472,57.18250377073907,0.06369426751592357,5.412534289934586
A1053,Data Analytcis Course,113.0,4945.0,187.66,15.0,10.0,,1564.0,,HYDERABAD,tablet,learn data analytics,0.022851365015166835,1.66070796460177,37.94944388270981,0.08849557522123894,8.33422146435042
A1054,Data Analytcis Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,,HYDERABAD,desktop,learn data analytics,0.030322173089071383,2.043229166666667,61.95514845230575,0.07291666666666667,9.696660718837624
A1055,Data Analytcis Course,125.0,4223.0,183.68,15.0,6.0,,1267.0,2024-11-05,HYDERABAD,desktop,data analitics online,0.029599810561212407,1.46944,43.49514563106796,0.048,6.897865853658536
A1056,Data Analytcis Course,104.0,4798.0,210.1,18.0,3.0,,1340.0,,HYDERABAD,desktop,analytics for data,0.021675698207586493,2.020192307692308,43.789078782826174,0.028846153846153848,6.377915278438839
A1057,Data Analytcis Course,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,HYDERABAD,mobile,data anaytics training,0.03430592396109638,1.0751546391752578,36.8841732979664,0.030927835051546393,8.11199539744942
A1058,Data Analytcis Course,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,,HYDERABAD,desktop,data analitics online,0.02801556420233463,1.5241666666666667,42.70038910505836,0.05555555555555555,4.80225988700565
A1059,Data Analytcis Course,179.0,3025.0,238.81,17.0,3.0,0.017,,2024-11-11,HYDERABAD,mobile,data analitics online,0.059173553719008266,1.3341340782122906,78.94545454545454,0.01675977653631285,
A1060,Data Analytcis Course,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,,HYDERABAD,tablet,data analytics course,0.031782500478652116,1.1431325301204818,36.33161018571702,0.04216867469879518,6.423903878583475
A1061,Data Analytcis Course,166.0,5089.0,,26.0,7.0,0.042,1946.0,,HYDERABAD,tablet,analytics for data,0.03261937512281391,,,0.04216867469879518,
A1062,Data Analytcis Course,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,,HYDERABAD,desktop,analytics for data,0.023524720893141945,1.7314406779661018,40.73165869218501,0.07627118644067797,8.971660711663649
A1063,Data Analytcis Course,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,,HYDERABAD,mobile,data analytics course,0.05114735969035112,1.2017297297297298,61.46530273707492,0.03783783783783784,8.82961496941346
A1064,Data Analytcis Course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,,HYDERABAD,tablet,data analytics course,0.030818278427205102,2.0002586206896553,61.644527098831034,0.08620689655172414,5.809593587036159
A1065,Data Analytcis Course,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,HYDERABAD,desktop,online data analytic,0.022053909556694142,1.8558585858585857,40.92893740253954,0.06060606060606061,6.879660371196866
A1066,Data Analytcis Course,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,,HYDERABAD,mobile,analytics for data,0.038730015762215714,1.2859302325581397,49.80409817608647,0.046511627906976744,8.00705307894023
A1067,Data Analytcis Course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,HYDERABAD,desktop,data analitics online,0.023995826812728223,1.442826086956522,34.62180490349505,0.06521739130434782,6.714881221435387
A1068,Data Analytcis Course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,,HYDERABAD,desktop,learn data analytics,0.02081268582755203,2.788333333333333,58.03270564915758,0.11904761904761904,5.494833916830331
A1069,Data Analytcis Course,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,HYDERABAD,desktop,learn data analytics,0.02509105625252934,1.940241935483871,48.68271954674221,0.024193548387096774,7.988694459453843
A1070,Data Analytcis Course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,,HYDERABAD,mobile,data analitics online,0.024453798356384046,1.7662295081967212,43.19102024453798,0.040983606557377046,9.165583812882867
A1071,Data Analytcis Course,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,HYDERABAD,tablet,learn data analytics,0.059880239520958084,1.2674444444444444,75.89487691284099,0.03888888888888889,6.820373454896117
A1072,Data Analytcis Course,133.0,3728.0,199.13,11.0,10.0,,,2024-11-09,HYDERABAD,desktop,data analitics online,0.03567596566523605,1.497218045112782,53.41469957081544,0.07518796992481203,
A1073,Data Analytcis Course,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,,HYDERABAD,tablet,learn data analytics,0.04392072844134976,1.3743292682926829,60.36154258168184,0.04878048780487805,7.666711034207374
A1074,Data Analytcis Course,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,HYDERABAD,desktop,data analitics online,0.032460506383899586,1.6420000000000001,53.30015148236313,0.04,6.309378806333739
A1075,Data Analytcis Course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,,HYDERABAD,desktop,analytics for data,0.030199252801992527,2.191237113402062,66.17372353673724,0.10309278350515463,9.381322041872501
A1076,Data Analytcis Course,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,,HYDERABAD,mobile,learn data analytics,0.03029585798816568,1.783125,54.02130177514793,0.03125,7.089029092183666
A1077,Data Analytcis Course,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,HYDERABAD,desktop,online data analytic,0.02071563088512241,2.3614141414141416,48.91818372044361,0.10101010101010101,4.645393104628283
A1078,Data Analytcis Course,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,HYDERABAD,tablet,online data analytic,0.016068759342301942,2.721511627906977,43.73131539611361,0.05813953488372093,5.827814569536423
A1079,Data Analytcis Course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,HYDERABAD,tablet,analytics for data,0.02183163737280296,1.5871186440677967,34.64939870490287,0.059322033898305086,9.8035027765912
A1080,Data Analytcis Course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,,HYDERABAD,mobile,analytics for data,0.023388581952117862,1.5679527559055118,36.67219152854512,0.047244094488188976,9.702204589966353
A1081,Data Analytcis Course,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,,HYDERABAD,mobile,learn data analytics,0.017262895174708817,2.907831325301205,50.197587354409315,0.08433734939759036,4.30080795525171
A1082,Data Analytcis Course,149.0,3587.0,217.53,23.0,8.0,,,,HYDERABAD,mobile,data analitics online,0.04153889043769166,1.4599328859060403,60.64399219403401,0.053691275167785234,
A1083,Data Analytcis Course,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,,HYDERABAD,mobile,data analitics online,0.03587443946188341,1.2814285714285714,45.970531710442025,0.047619047619047616,6.1640654031958375
A1084,Data Analytcis Course,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,HYDERABAD,tablet,analytics for data,0.019263845889232887,2.0301785714285714,39.10904712762297,0.07142857142857142,6.451754771747735
A1085,Data Analytcis Course,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,HYDERABAD,desktop,data anaytics training,0.037363304981773995,1.8959349593495933,70.83839611178615,0.04878048780487805,5.034305317324185
A1086,Data Analytcis Course,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,,HYDERABAD,desktop,learn data analytics,0.04041811846689895,1.1840229885057472,47.85598141695703,0.017241379310344827,5.130569847587613
A1087,Data Analytcis Course,143.0,4368.0,,27.0,7.0,0.049,1199.0,,HYDERABAD,tablet,analytics for data,0.03273809523809524,,,0.04895104895104895,
A1088,Data Analytcis Course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,HYDERABAD,tablet,online data analytic,0.03285593934288121,1.0752820512820513,35.329401853411966,0.046153846153846156,9.376192293017931
A1089,Data Analytcis Course,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,HYDERABAD,desktop,online data analytic,0.030100906447750982,1.3695454545454544,41.224559603215326,0.03409090909090909,4.95353468304016
A1090,Data Analytcis Course,141.0,4851.0,227.39,28.0,5.0,,1821.0,,HYDERABAD,desktop,analytics for data,0.02906617192331478,1.6126950354609928,46.87487116058545,0.03546099290780142,8.008267733849335
A1091,Data Analytcis Course,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,,HYDERABAD,tablet,data analitics online,0.022929936305732482,1.8903703703703703,43.346072186836516,0.09259259259259259,8.47864420062696
A1092,Data Analytcis Course,112.0,3345.0,,11.0,6.0,0.047,1859.0,2024-11-23,HYDERABAD,tablet,analytics for data,0.03348281016442452,,,0.05357142857142857,
A1093,Data Analytcis Course,,5903.0,184.41,23.0,9.0,,1188.0,,HYDERABAD,tablet,online data analytic,,,31.240047433508387,,6.44216691068814
A1094,Data Analytcis Course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,HYDERABAD,tablet,data analitics online,0.02897681854516387,1.492758620689655,43.25539568345323,0.034482758620689655,6.911526911526912
A1095,Data Analytcis Course,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,HYDERABAD,desktop,data anaytics training,0.04636432733721814,1.0781420765027323,49.987332151000764,0.04371584699453552,8.337557019766852
A1096,Data Analytcis Course,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,HYDERABAD,tablet,learn data analytics,0.03062330623306233,2.0302654867256638,62.173441734417345,0.04424778761061947,8.347136256647198
A1097,Data Analytcis Course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,HYDERABAD,tablet,data analitics online,0.016994783779236074,1.8546534653465345,31.519434628975265,0.0594059405940594,8.616271620755926
A1098,Data Analytcis Course,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,HYDERABAD,tablet,data analytics course,0.03528094082508867,1.1772486772486772,41.53444091842449,0.015873015873015872,8.265168539325842
A1099,Data Analytcis Course,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,,HYDERABAD,tablet,online data analytic,0.04282536151279199,1.5333766233766233,65.66740823136819,0.05844155844155844,4.387227915643263
A1100,Data Analytcis Course,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,HYDERABAD,desktop,online data analytic,0.03467648198372724,1.3785474860335194,47.80317706315382,0.027932960893854747,4.263251742583887
A1101,Data Analytcis Course,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,,HYDERABAD,tablet,learn data analytics,0.03949826527888978,1.6514189189189188,65.22818254603682,0.05405405405405406,4.467902295323432
A1102,Data Analytcis Course,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,HYDERABAD,mobile,online data analytic,0.03670676068021568,1.1131638418079095,40.8606387391124,0.05084745762711865,9.688879866010252
A1103,Data Analytcis Course,119.0,5800.0,221.36,11.0,8.0,,,,HYDERABAD,desktop,analytics for data,0.020517241379310346,1.8601680672268908,38.16551724137931,0.06722689075630252,
A1104,Data Analytcis Course,89.0,3594.0,,14.0,6.0,0.067,1026.0,,HYDERABAD,tablet,data analytics course,0.02476349471341124,,,0.06741573033707865,
A1105,Data Analytcis Course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,,HYDERABAD,tablet,analytics for data,0.030640083945435468,1.5768493150684932,48.31479538300105,0.03424657534246575,8.444096950742768
A1106,Data Analytcis Course,109.0,4128.0,183.65,12.0,5.0,,,2024-11-30,HYDERABAD,desktop,data analitics online,0.02640503875968992,1.6848623853211009,44.48885658914729,0.045871559633027525,
A1107,Data Analytcis Course,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,HYDERABAD,tablet,learn data analytics,0.0310122878876536,1.24,38.455236980690465,0.025157232704402517,9.469466423209576
A1108,Data Analytcis Course,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,HYDERABAD,desktop,analytics for data,0.02537892139584068,1.6344444444444446,41.48043708142404,0.020833333333333332,6.394459551325628
A1109,Data Analytcis Course,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,HYDERABAD,tablet,online data analytic,0.03216451357764303,1.9444262295081967,62.54152385974162,0.06557377049180328,7.76494393390102
A1110,Data Analytcis Course,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,,HYDERABAD,mobile,data analytics course,0.025955967555040555,2.1011607142857143,54.537659327925844,0.08035714285714286,4.742276802787575
A1111,Data Analytcis Course,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,,HYDERABAD,mobile,learn data analytics,0.036989795918367346,1.105287356321839,40.8843537414966,0.05747126436781609,7.804700499168053
A1112,Data Analytcis Course,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,HYDERABAD,mobile,online data analytic,0.050164228127799346,1.4023809523809523,70.34935801731861,0.05357142857142857,8.03904923599321
A1113,Data Analytcis Course,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,,HYDERABAD,mobile,data analytics course,0.04941445301342474,1.2942196531791907,63.95315624107398,0.057803468208092484,5.265743635551585
A1114,Data Analytcis Course,91.0,,203.52,,9.0,0.099,1838.0,,HYDERABAD,desktop,data analytics course,,2.2364835164835166,,0.0989010989010989,9.031053459119496
A1115,Data Analytcis Course,140.0,5405.0,195.69,21.0,8.0,,1094.0,,HYDERABAD,desktop,data anaytics training,0.025901942645698426,1.3977857142857142,36.205365402405185,0.05714285714285714,5.590474730441004
A1116,Data Analytcis Course,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,,HYDERABAD,mobile,online data analytic,0.027153284671532846,2.470537634408602,67.08321167883211,0.043010752688172046,5.84958217270195
A1117,Data Analytcis Course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,,HYDERABAD,mobile,data analytics course,0.021660649819494584,1.6590350877192983,35.9357780733422,0.043859649122807015,7.58208639560091
A1118,Data Analytcis Course,172.0,3889.0,,21.0,10.0,,1766.0,2024-11-16,HYDERABAD,tablet,online data analytic,0.04422730779120596,,,0.05813953488372093,
A1119,Data Analytcis Course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,,HYDERABAD,tablet,online data analytic,0.05650736399158401,1.0306382978723403,58.238653441538915,0.031914893617021274,6.29644921552436
A1120,Data Analytcis Course,117.0,,214.18,29.0,4.0,0.034,1348.0,,HYDERABAD,mobile,learn data analytics,,1.8305982905982907,,0.03418803418803419,6.293771593986366
A1121,Data Analytcis Course,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,HYDERABAD,mobile,analytics for data,0.02065435934929629,1.9076991150442477,39.40230305245842,0.07964601769911504,5.209444727930602
A1122,Data Analytcis Course,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,HYDERABAD,tablet,learn data analytics,0.030704225352112677,2.204862385321101,67.69859154929578,0.07339449541284404,8.246993716972495
A1123,Data Analytcis Course,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,,HYDERABAD,desktop,data analitics online,0.05475141598489616,1.2969540229885057,71.01006922592826,0.05747126436781609,5.0516240528204905
A1124,Data Analytcis Course,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,HYDERABAD,mobile,learn data analytics,0.020543548041943076,2.0091666666666668,41.275411940937296,0.052083333333333336,10.172127747822481
A1125,Data Analytcis Course,110.0,4254.0,187.87,11.0,4.0,,1172.0,2024-11-04,HYDERABAD,mobile,data anaytics training,0.025858015984955338,1.707909090909091,44.163140573577806,0.03636363636363636,6.23835631021451
A1126,Data Analytcis Course,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,HYDERABAD,tablet,online data analytic,0.04455986878075451,1.4578527607361962,64.96172772006561,0.04294478527607362,7.149770651853722
A1127,Data Analytcis Course,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,HYDERABAD,mobile,learn data analytics,0.030268847527730777,1.4657142857142857,44.36548223350253,0.024844720496894408,6.0301720484786845
A1128,Data Analytcis Course,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,,HYDERABAD,mobile,data analytics course,0.03694581280788178,0.9922564102564103,36.65971959075408,0.035897435897435895,7.524936689234585
A1129,Data Analytcis Course,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,,HYDERABAD,tablet,analytics for data,0.02237017310252996,2.605714285714286,58.29027962716378,0.10714285714285714,5.9347587719298245
A1130,Data Analytcis Course,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,,HYDERABAD,tablet,data analytics course,0.024672489082969432,1.724070796460177,42.53711790393013,0.05309734513274336,6.405913150600554
A1131,Data Analytcis Course,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,HYDERABAD,desktop,data anaytics training,0.030716723549488054,1.9242735042735042,59.107377264373845,0.042735042735042736,6.640312694323533
